CSCI2824 Lec ,xMxWxFx,09.00,060
WRTG1250 Lec ,xMxWxFx,11.00,060
CSCI2270 Lec ,xMxWxFx,15.00,060
PSYC3456 Lec ,xMxxxxx,18.00,120
CSCI2270 Rec ,xxTxxxx,15.30,075
SSS/Yoga/Eat ,SMTWTFS,05.00,060
Easton - BJJ ,xMTWTFx,06.00,060
Shower       ,xMTWTFx,07.00,030
Shower       ,SxxxxxS,06.00,030
